year,mine_production_kt,refined_production_kt,refined_usage_kt
1960,3924,4998,4738
1961,4081,5127,5050
1962,4216,5296,5048
1963,4286,5400,5500
1964,4443,5739,5995
1965,4769,6059,6193
1966,4987,6324,6445
1967,4743,6004,6195
1968,5010,6653,6523
1969,5682,7212,7137
1970,5900,7592,7291
1971,5941,7404,7296
1972,6541,8100,7942
1973,6915,8544,8740
1974,7097,8759,8310
1975,6735,8187,7445
1976,7289,8632,8539
1977,7444,8884,9057
1978,7306,9030,9527
1979,7372,9200,9848
1980,7227,9261,9396
1981,7721,9573,9522
1982,7745,9319,9090
1983,7824,9541,9510
1984,8135,9440,9930
1985,8314,9616,9798
1986,8295,9920,10112
1987,8620,10148,10293
1988,8773,10512,10668
1989,9086,10908,11081
1990,9227,10805,10886
1991,9373,10686,10563
1992,9497,11042,10866
1993,9571,11274,10992
1994,9539,11118,11560
1995,10070,11817,12043
1996,11084,12628,12489
1997,11514,13425,13082
1998,12228,14032,13440
1999,12767,14576,14223
2000,13199,14793,15122
2001,13636,15638,14938
2002,13487,15354,15133
2003,13699,15272,15641
2004,14594,15918,16743
2005,14927,16572,16552
2006,14983,17288,16917
2007,15508,17895,18026
2008,15532,18191,17877
2009,15941,18234,17870
2010,15987,18965,19136
2011,15960,19585,19709
2012,16678,20169,20479
2013,18173,21023,21408
2014,18420,22455,22906
2015,19152,22803,23046
2016,20396,23321,23486
2017,20065,23518,23682
2018,20604,24072,24479
2019,20657,24127,24351
2020,20740,24621,24953
2021,21223,24900,25259
2022,21911,25272,25857
2023,22368,26502,26604
2024,22990,27486,27353
