scenario,year,demand_kt,mine_supply_kt,primary_refined_supply_kt,secondary_refined_supply_kt,refined_supply_kt,market_balance_kt,primary_supply_growth,supply_model_primary_growth,secondary_supply_growth
base_case,2024,27353.0,22990.0,22785.894,4700.106,27486.0,133.0,0.0,0.0,0.0
base_case,2025,28093.793852488194,22881.154616562497,22649.41598812105,4789.282483017201,27438.698471138254,-655.09538134994,-0.005989583374650498,-0.005989583374650498,0.018973291882608937
base_case,2026,28817.482142792393,23299.942017125002,23063.932687330387,4876.592941635584,27940.52562896597,-876.9565138264225,0.01830142991001349,0.01830142991001349,0.018230383972544
base_case,2027,29520.514901609655,24085.090739284497,23840.989383907363,4961.771542515031,28802.760926422394,-717.753975187261,0.03369142232208433,0.03369142232208433,0.017466826101519638
base_case,2028,30199.37877605854,24686.464795188775,24436.20042926363,5044.5594162906555,29480.759845554287,-718.6189305042535,0.024965870156296255,0.024965870156296255,0.016685144220417038
base_case,2029,30850.63378152142,25164.357221893624,24909.211632548016,5124.706568079276,30033.918200627293,-816.7155808941279,0.019356986559904366,0.019356986559904366,0.015887839784342116
base_case,2030,31470.950512009837,25629.774017140437,25369.891864405727,5201.97377115099,30571.865635556715,-899.084876453122,0.01849437222877648,0.01849437222877648,0.015077390684765138
base_case,2031,32104.79781026882,25996.80176013756,25733.162678168796,5280.501858370915,31013.664536539713,-1091.1332737291086,0.014318973675750746,0.014318973675750746,0.015095825291435466
base_case,2032,32752.487314849917,26343.32496942866,26076.14205259267,5360.312456245409,31436.454508838076,-1316.0328060118409,0.013328302421017568,0.013328302421017568,0.015114206947578944
base_case,2033,33414.338082241185,26690.801056494085,26420.06471579433,5441.427570222908,31861.492286017237,-1552.8457962239481,0.01318916972104267,0.01318916972104267,0.015132534649727584
base_case,2034,34090.67676678348,26902.69314435604,26629.79588294781,5523.869591361084,32153.66547430889,-1937.0112924745881,0.0079383290468662,0.0079383290468662,0.01515080740747573
base_case,2035,34781.837804996045,27084.12260452089,26809.380869408506,5607.661303111282,32417.04217251979,-2364.7956324762563,0.006743761283416028,0.006743761283416028,0.015169024243664632
