scenario,year,region,demand_kt,growth_rate,industry_contribution,gdp_per_capita_contribution,population_contribution,transition_bonus,property_downturn_drag,substitution_drag,scenario_shock,raw_demand_growth,clip_adjustment
base_case,2024,China,15864.74,0.03731537649320772,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.0024999999999999996,-0.003,0.0,0.03731537649320772,0.0
base_case,2024,United States,1914.7100000000003,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2024,European Union,3282.3599999999997,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2024,Rest of World,6291.1900000000005,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2025,China,16456.73874606685,0.03731537649320772,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.0024999999999999996,-0.003,0.0,0.03731537649320772,0.0
base_case,2025,United States,1937.7352243714665,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2025,European Union,3319.5202466672795,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2025,Rest of World,6379.799635382596,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2026,China,17029.68630136153,0.03481537649320773,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.004999999999999999,-0.003,0.0,0.03481537649320773,0.0
base_case,2026,United States,1961.0373371267385,0.01202543694421944,0.0074248927060021515,0.005153344329329901,0.0009471999088873861,0.002,0.0,-0.0035,0.0,0.01202543694421944,0.0
base_case,2026,European Union,3357.1011918357513,0.01132119775627292,0.008371743455100934,0.004203386510807583,0.0002460677903644015,0.002,0.0,-0.0035,0.0,0.01132119775627292,0.0
base_case,2026,Rest of World,6469.657312468372,0.014084717737438414,0.010027410692751327,0.002466849897220302,0.0020904571474667844,0.0015,0.0,-0.002,0.0,0.014084717737438414,0.0
base_case,2027,China,17580.007025751253,0.032315376493207724,0.023918089611867734,0.01610926968063777,0.0002880172007022175,0.0025,-0.0075,-0.003,0.0,0.032315376493207724,0.0
