scenario,year,mine_supply_kt,nameplate_mine_supply_kt,technical_capacity_kt,operating_mine_supply_kt,project_and_expansion_supply_kt,byproduct_supply_kt,concentrate_supply_kt,sxew_supply_kt,maintenance_loss_kt,disruption_loss_kt,project_probability_discount_kt,primary_conversion_factor,primary_refined_before_constraints_kt,smelter_refinery_constraint_kt,blending_constraint_kt,primary_refined_supply_kt,concentrate_processing_capacity_kt,rest_of_world_growth,project_probability_multiplier,project_risk_discount_factor,disruption_multiplier,maintenance_loss_multiplier,concentrate_processing_capacity_growth,smelter_constraint_capture_rate,blending_constraint_pct,primary_supply_growth,secondary_refined_supply_kt,refined_supply_kt,market_balance_kt
base_case,2024,22990.0,22990.0,29591.0,22064.0,926.0,1580.0,19186.768697225576,3803.2313027744262,0.0,0.0,0.0,0.9911219660722053,22785.894,0.0,0.0,22785.894,19186.768697225576,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.0,4700.106,27486.0,133.0
base_case,2025,22881.154616562497,23357.83133333333,29703.648,21851.315674999998,1029.8389415624988,1338.553875,19065.974298990877,3815.180317571622,134.24346677083335,657.0,15.433249999999994,0.9911219660722053,22678.014949569537,0.0,28.598961448486317,22649.41598812105,19570.50407117009,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,-0.005989583374650498,4789.282483017201,27438.698471138254,-655.09538134994
base_case,2026,23299.942017125002,23718.563850666666,29817.197184,22057.885734,1242.0562831250027,1274.1705,19434.436033952807,3865.5059831721946,138.3153335416667,500.0,30.30649999999999,0.9911219660722053,23093.084341381316,0.0,29.15165405092921,23063.932687330387,19961.91415259349,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.01830142991001349,4876.592941635584,27940.52562896597,-876.9565138264225
base_case,2027,24085.090739284497,24378.704761472,29931.654761471997,22488.364186471998,1596.726552812499,1509.787125,20182.068426501926,3903.022312782572,145.41177218750002,0.0,148.20224999999996,0.9911219660722053,23871.262486547115,0.0,30.27310263975289,23840.989383907363,20361.152435645363,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.03369142232208433,4961.771542515031,28802.760926422394,-717.753975187261
base_case,2028,24686.464795188775,25172.927999563777,30047.027999563776,22669.758299563775,2016.7064956249997,1495.40375,20731.395944098942,3955.0688510898326,153.43937104166667,0.0,333.02383333333324,0.9911219660722053,24467.29752317978,0.0,31.097093916148413,24436.20042926363,20768.375484358265,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.024965870156296255,5044.5594162906555,29480.759845554287,-718.6189305042535
base_case,2029,25164.357221893624,25783.657556893624,30163.32422356029,22852.07539856029,2312.2818233333346,1481.020375,21157.04810566007,4007.309116233552,159.41200166666667,0.0,459.8883333333333,0.9911219660722053,24940.947204706506,0.0,31.735572158490104,24909.211632548016,21183.74299404543,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.019356986559904366,5124.706568079276,30033.918200627293,-816.7155808941279
base_case,2030,25629.774017140437,26543.467484015433,30280.55081734877,23035.32286734877,2594.4511497916683,1466.6370000000002,21560.099632549514,4069.6743845909205,165.3176335416667,0.0,748.3758333333333,0.9911219660722053,25402.23201385455,0.0,32.34014944882427,25369.891864405727,21607.41785392634,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.01849437222877648,5201.97377115099,30571.865635556715,-899.084876453122
base_case,2031,25996.80176013756,27187.21522388756,30398.71522388756,23153.48727388756,2843.314486250001,1466.6370000000002,21892.395952074912,4104.405808062648,169.42846375000002,0.0,1020.9849999999999,0.9911219660722053,25766.001272096906,0.0,32.83859392811237,25733.162678168796,22039.56621100487,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.014318973675750746,5280.501858370915,31013.664536539713,-1091.1332737291086
base_case,2032,26343.32496942866,27838.07494567866,30517.82494567866,23272.59699567866,3070.7279737499994,1466.6370000000002,22203.98932431901,4139.335645109649,173.18497625,0.0,1321.565,0.9911219660722053,26109.44803657915,0.0,33.305983986478516,26076.14205259267,22480.357535224968,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.013328302421017568,5360.312456245409,31436.454508838076,-1316.0328060118409
base_case,2033,26690.801056494085,28489.887545244088,30637.887545244088,23392.659595244088,3298.1414612499975,1466.6370000000002,22516.33557345356,4174.465483040525,176.94148875000002,0.0,1622.1449999999998,0.9911219660722053,26453.83921915451,0.0,33.77450336018034,26420.06471579433,22929.964685929466,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.01318916972104267,5441.427570222908,31861.492286017237,-1552.8457962239481
base_case,2034,26902.69314435604,28843.91064560604,30758.91064560604,23513.68269560604,3389.0104487499993,1466.6370000000002,22702.825949056194,4199.86719529985,178.44250125,0.0,1762.775,0.9911219660722053,26663.850121871394,0.0,34.05423892358429,26629.79588294781,23388.563979648057,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.0079383290468662,5523.869591361084,32153.66547430889,-1937.0112924745881
base_case,2035,27084.12260452089,29123.901930770888,30880.901930770888,23635.673980770887,3448.4486237500023,1466.6370000000002,22858.650483263642,4225.472121257249,179.42432625,0.0,1860.3549999999998,0.9911219660722053,26843.6688451334,0.0,34.28797572489546,26809.380869408506,23856.33525924102,0.008,1.0,0.7,1.0,0.65,0.02,0.4,0.0015,0.006743761283416028,5607.661303111282,32417.04217251979,-2364.7956324762563
