scenario,year,demand_kt,mine_supply_kt,primary_refined_supply_kt,secondary_refined_supply_kt,refined_supply_kt,market_balance_kt,primary_supply_growth,supply_model_primary_growth,secondary_supply_growth
bear_case,2024,27400.0,23000.0,22632.0,4968.0,27600.0,200.0,0.0,0.0,0.0
bear_case,2025,28064.463177587008,23013.232666666667,22597.017346220673,5086.582798165503,27683.600144386175,-380.86303320083243,-0.00154571640947887,-0.00154571640947887,0.023869323302234922
bear_case,2026,28749.638622923616,23353.798383187495,22931.36750079281,5208.535459803568,28139.90296059638,-609.7356623272353,0.014796207368848124,0.014796207368848124,0.02397536154961405
bear_case,2027,29456.232271265082,23929.72643857423,23384.534517449043,5333.961659388536,28718.49617683758,-737.7360944275024,0.01976188365742093,0.01976188365742093,0.02408089578211248
bear_case,2028,30184.974734784944,24468.021482543412,23730.39509895754,5462.968296349352,29193.363395306893,-991.6113394780514,0.014790141802926371,0.014790141802926371,0.024185895062396323
bear_case,2029,30936.622170966966,24888.560558905934,24045.170864405052,5595.665594220591,29640.836458625643,-1295.7857123413232,0.013264666017353433,0.013264666017353433,0.024290329116483177
bear_case,2030,31711.95718160903,25220.750238956854,24341.5306093697,5732.167202844178,30073.69781221388,-1638.2593693951494,0.012325125349945454,0.012325125349945454,0.02439416836570278
bear_case,2031,32511.789743518653,25456.37483819888,24596.679530480393,5872.590303717326,30469.26983419772,-2042.519909320934,0.01048204096962091,0.01048204096962091,0.02449738395688663
bear_case,2032,33336.95817201772,25652.863966399425,24842.94928748149,6017.055718585132,30860.00500606662,-2476.9531659511013,0.010012317178663022,0.010012317178663022,0.024599947790732133
bear_case,2033,34188.33011841359,25849.755977648023,25091.49517781419,6165.6880213793775,31257.18319919357,-2931.146919220024,0.010004685331702845,0.010004685331702845,0.024701832548294056
bear_case,2034,35066.80360263443,25964.860487080674,25314.839683256814,6318.615653608163,31633.455336864976,-3433.3482657694512,0.008901203529716462,0.008901203529716462,0.02480301171556409
bear_case,2035,35973.308082268966,26064.577120937844,25536.06663135358,6475.971043304308,32012.037674657888,-3961.2704076110786,0.008739022283561493,0.008739022283561493,0.024903459606106754
