scenario,year,step_order,step,kt,note
bear_case,2024,1,Risk-adjusted mine supply,22990.0,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2024,2,Payable / route calibration,-204.10599999999977,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2024,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2024,4,Blending / maintenance constraint,-0.0,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2024,5,Primary refined supply,22785.894,Mine-linked refined output after conversion constraints.
bear_case,2024,6,Secondary refined supply,4700.106,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2024,7,Total refined supply,27486.0,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2025,1,Risk-adjusted mine supply,23191.344704166666,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2025,2,Payable / route calibration,-205.8935451147736,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2025,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2025,4,Blending / maintenance constraint,-19.35305780284228,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2025,5,Primary refined supply,22966.09810124905,Mine-linked refined output after conversion constraints.
bear_case,2025,6,Secondary refined supply,4794.314872363844,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2025,7,Total refined supply,27760.412973612893,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2026,1,Risk-adjusted mine supply,23631.536638999998,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2026,2,Payable / route calibration,-209.80158404696704,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2026,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2026,4,Blending / maintenance constraint,-19.73878938315139,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2026,5,Primary refined supply,23401.99626556988,Mine-linked refined output after conversion constraints.
bear_case,2026,6,Secondary refined supply,4884.613897543227,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2026,7,Total refined supply,28286.610163113106,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2027,1,Risk-adjusted mine supply,24362.573755842997,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2027,2,Payable / route calibration,-216.29175637277513,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2027,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2027,4,Blending / maintenance constraint,-20.419268782424208,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2027,5,Primary refined supply,24125.862730687797,Mine-linked refined output after conversion constraints.
bear_case,2027,6,Secondary refined supply,4970.566798957427,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2027,7,Total refined supply,29096.429529645226,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2028,1,Risk-adjusted mine supply,25096.68771514728,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2028,2,Payable / route calibration,-222.80924501034679,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2028,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2028,4,Blending / maintenance constraint,-21.08365894542246,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2028,5,Primary refined supply,24852.79481119151,Mine-linked refined output after conversion constraints.
bear_case,2028,6,Secondary refined supply,5051.763037218302,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2028,7,Total refined supply,29904.55784840981,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2029,1,Risk-adjusted mine supply,25685.32421568522,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2029,2,Payable / route calibration,-228.03517983325946,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
bear_case,2029,3,Smelter / refinery constraint,-0.0,Loss when concentrate availability exceeds configured processing capacity growth.
bear_case,2029,4,Blending / maintenance constraint,-21.6021305545417,Configured allowance for concentrate quality; blending; planned conversion downtime.
bear_case,2029,5,Primary refined supply,25435.68690529742,Mine-linked refined output after conversion constraints.
bear_case,2029,6,Secondary refined supply,5127.822629513786,Scrap/recycled supply from the model's secondary-supply rule.
bear_case,2029,7,Total refined supply,30563.509534811208,Primary refined supply plus secondary refined supply used in the Model tab.
bear_case,2030,1,Risk-adjusted mine supply,26292.459405929105,Reported operating output plus configured probability-weighted project and expansion output.
bear_case,2030,2,Payable / route calibration,-233.42534665100538,Calibrates mine copper content to the 2024 ICSG primary refined anchor before bottlenecks.
