scenario,year,demand_kt,mine_supply_kt,primary_refined_supply_kt,secondary_refined_supply_kt,refined_supply_kt,market_balance_kt,primary_supply_growth,supply_model_primary_growth,secondary_supply_growth
bull_case,2024,27353.0,22990.0,22785.894,4700.106,27486.0,133.0,0.0,0.0,0.0
bull_case,2025,28365.643160505137,22311.026102427084,22075.886547594146,4788.194215022804,26864.080762616948,-1501.5623978881886,-0.031159955909821013,-0.031159955909821013,0.01874175072281445
bull_case,2026,29398.771690590747,22748.84829752083,22509.05535737169,4876.603592471744,27385.658949843433,-2013.112740747314,0.019621808113738037,0.019621808113738037,0.018464033303319097
bull_case,2027,30451.141759585113,23733.07248115275,23482.621804604907,4965.236134134411,28447.85793873932,-2003.2838208457943,0.04325221257738732,0.04325221257738732,0.018175055647232298
bull_case,2028,31521.389463986045,24175.446616278237,23920.249912132098,5053.991949751401,28974.2418618835,-2547.1476021025446,0.018636254127355256,0.018636254127355256,0.017875447052119492
bull_case,2029,32608.0327578871,24524.031243711433,24246.73335866347,5142.7695326205185,29389.502891283988,-3218.529866603112,0.013648830916510812,0.013648830916510812,0.0175658338501081
bull_case,2030,33709.47427864477,24825.28271206678,24560.333773161063,5231.466045240254,29791.799818401316,-3917.674460243452,0.012933718116116433,0.012933718116116433,0.01724683792597254
bull_case,2031,34851.61403619196,25036.152885533964,24771.774359663254,5321.935117314132,30093.709476977387,-4757.904559214574,0.00860902740390479,0.00860902740390479,0.017293254183727156
bull_case,2032,36036.046463233375,25222.587622194595,24956.217466426104,5414.214505643993,30370.431972070095,-5665.61449116328,0.007445696222035059,0.007445696222035059,0.017339442570361827
bull_case,2033,37264.43060809039,25409.254039349376,25140.889830710326,5508.3427638253515,30649.23259453568,-6615.198013554713,0.00739985394552134,0.00739985394552134,0.01738539507129531
bull_case,2034,38538.492801451146,25514.41817934527,25244.93450039913,5604.35925859807,30849.2937589972,-7689.199042453947,0.004138464087365401,0.004138464087365401,0.017431103852738133
bull_case,2035,39860.02943422269,25602.389475736156,25331.973448854074,5702.304186538724,31034.2776353928,-8825.751798829893,0.0034477787396742787,0.0034477787396742787,0.017476561266194613
