start_year,year,window_years,refined_usage_growth,world_real_gdp_growth,refined_usage_start_kt,refined_usage_end_kt,world_real_gdp_start_usd,world_real_gdp_end_usd
1960,1961,1,0.06585056986070081,0.039138180754848984,4738.0,5050.0,11078650356186.5,11512248576346.7
1961,1962,1,-0.0003960396039603964,0.053211915500134266,5050.0,5048.0,11512248576346.7,12124837374807.8
1962,1963,1,0.08954041204437391,0.050194857425174044,5048.0,5500.0,12124837374807.8,12733441858139.7
1963,1964,1,0.09000000000000008,0.06629732895062146,5500.0,5995.0,12733441858139.7,13577635041682.4
1964,1965,1,0.03302752293577971,0.056309478459598106,5995.0,6193.0,13577635041682.4,14342184589594.3
1965,1966,1,0.04069110285806565,0.054188856654234785,6193.0,6445.0,14342184589594.3,15119371174428.4
1966,1967,1,-0.03878975950349106,0.03738066011348962,6445.0,6195.0,15119371174428.4,15684543249429.4
1967,1968,1,0.052945924132364874,0.05947222989110856,6195.0,6523.0,15684543249429.4,16617338011296.5
1968,1969,1,0.0941284684960908,0.05961314480553259,6523.0,7137.0,16617338011296.5,17607949788446.4
1969,1970,1,0.021577693708841217,0.0376536422839322,7137.0,7291.0,17607949788446.4,18270953231134.0
1970,1971,1,0.0006857769853243489,0.04108978445058975,7291.0,7296.0,18270953231134.0,19021702761108.1
1971,1972,1,0.08854166666666674,0.055377617784956756,7296.0,7942.0,19021702761108.1,20075079346231.8
1972,1973,1,0.1004784688995215,0.06457727016825676,7942.0,8740.0,20075079346231.8,21371473168822.6
1973,1974,1,-0.04919908466819223,0.019919071030607416,8740.0,8310.0,21371473168822.6,21797173060901.1
1974,1975,1,-0.10409145607701564,0.008144832816052272,8310.0,7445.0,21797173060901.1,21974707391344.7
1975,1976,1,0.14694425789120213,0.052212033859154516,7445.0,8539.0,21974707391344.7,23122051557706.6
1976,1977,1,0.060662841082093966,0.039414487575763824,8539.0,9057.0,23122051557706.6,24033395371554.0
1977,1978,1,0.051893562989952624,0.04137116820103337,9057.0,9527.0,24033395371554.0,25027685013912.5
1978,1979,1,0.03369371260627685,0.04140877320686265,9527.0,9848.0,25027685013912.5,26064050746546.4
1979,1980,1,-0.04589764419171405,0.01815328330445709,9848.0,9396.0,26064050746546.4,26537198843810.2
1980,1981,1,0.013409961685823646,0.01888174920877428,9396.0,9522.0,26537198843810.2,27038267577082.4
1981,1982,1,-0.04536862003780717,0.004110996849695292,9522.0,9090.0,27038267577082.4,27149421809913.0
1982,1983,1,0.0462046204620461,0.02576875451990479,9090.0,9510.0,27149421809913.0,27849028595890.0
1983,1984,1,0.04416403785488954,0.04728119481887516,9510.0,9930.0,27849028595890.0,29165763942448.7
1984,1985,1,-0.013293051359516639,0.03659925628606664,9930.0,9798.0,29165763942448.7,30233209211757.3
1985,1986,1,0.03204735660338853,0.03305047278635298,9798.0,10112.0,30233209211757.3,31232431070054.6
1986,1987,1,0.017899525316455778,0.03751407205045498,10112.0,10293.0,31232431070054.6,32404086739527.5
1987,1988,1,0.036432526960070044,0.04529175124832108,10293.0,10668.0,32404086739527.5,33871724575563.2
1988,1989,1,0.038713910761154935,0.03638243262582708,10668.0,11081.0,33871724575563.2,35104060312854.2
1989,1990,1,-0.01759768973919318,0.027083566103490275,11081.0,10886.0,35104060312854.2,36054803450838.3
1990,1991,1,-0.029671137240492418,0.012251812675762475,10886.0,10563.0,36054803450838.3,36496540148779.4
1991,1992,1,0.028685032661175835,0.0206322489260804,10563.0,10866.0,36496540148779.4,37249545850069.7
1992,1993,1,0.011595803423522844,0.018580269912708225,10866.0,10992.0,37249545850069.7,37941652466089.8
1993,1994,1,0.051673944687045115,0.034162275853171,10992.0,11560.0,37941652466089.8,39237825663961.5
1994,1995,1,0.041782006920415116,0.0317807321635466,11560.0,12043.0,39237825663961.5,40484832492067.8
1995,1996,1,0.03703396163746575,0.03586234018001111,12043.0,12489.0,40484832492067.8,41936713327029.1
1996,1997,1,0.047481783969893554,0.039967891563929436,12489.0,13082.0,41936713327029.1,43612835337831.4
1997,1998,1,0.02736584620088678,0.027812528220544586,13082.0,13440.0,43612835337831.4,44825818551442.8
1998,1999,1,0.05825892857142856,0.03578568191207454,13440.0,14223.0,44825818551442.8,46429941035573.1
