region,component,year,consumption_kt
World,Solar,2019,477.5330854
World,Solar,2020,586.2224745000001
World,Solar,2021,663.7970339999999
World,Solar,2022,902.6947597502012
World,Solar,2023,1384.873258222222
World,Solar,2024,1503.273984349785
World,Solar,2025,1600.0066578461474
World,Solar,2026,1344.9626763753784
World,Solar,2027,1252.741582276918
World,Solar,2028,1331.389955076918
World,Solar,2029,1481.389955076918
World,Solar,2030,1549.820457323072
World,Onshore Wind,2019,220.76725102500018
World,Onshore Wind,2020,334.75128089999987
World,Onshore Wind,2021,327.92426512500015
World,Onshore Wind,2022,298.2953527875002
World,Onshore Wind,2023,358.9074221489812
World,Onshore Wind,2024,376.14421786398134
World,Onshore Wind,2025,410.35537651709706
World,Onshore Wind,2026,437.9450423949575
World,Onshore Wind,2027,526.0100782801264
World,Onshore Wind,2028,557.2923557845797
World,Onshore Wind,2029,600.0847922790307
World,Onshore Wind,2030,632.6535802527533
World,Offshore Wind,2019,91.46663859145792
World,Offshore Wind,2020,80.91674232985736
World,Offshore Wind,2021,236.00104231114665
World,Offshore Wind,2022,185.59837551142604
World,Offshore Wind,2023,169.0387782021392
World,Offshore Wind,2024,231.79444232566155
World,Offshore Wind,2025,304.313
World,Offshore Wind,2026,291.07240600000006
World,Offshore Wind,2027,415.81100000000004
World,Offshore Wind,2028,493.4050000000001
World,Offshore Wind,2029,510.07824000000005
World,Offshore Wind,2030,547.2343490909092
World,EVs,2019,131.6872911462776
World,EVs,2020,199.64307551385872
World,EVs,2021,435.9694461378755
World,EVs,2022,764.882764698973
World,EVs,2023,968.6576485658176
World,EVs,2024,1133.1261019410363
World,EVs,2025,1379.9285836396168
World,EVs,2026,1626.3210544131507
World,EVs,2027,1747.6169302033181
World,EVs,2028,1844.653499487929
World,EVs,2029,2031.2085694953184
World,EVs,2030,2275.524245059267
World,ICE,2019,1691.8493662427838
World,ICE,2020,1371.9259209619665
World,ICE,2021,1363.5272532168628
World,ICE,2022,1398.1948482509565
World,ICE,2023,1483.5334217788084
World,ICE,2024,1410.8336966640622
World,ICE,2025,1376.5194885634755
World,ICE,2026,1207.596401752197
World,ICE,2027,1184.0818810041255
World,ICE,2028,1093.4748671847046
World,ICE,2029,1003.1275034406381
World,ICE,2030,946.9428301810515
World,Other transport,2019,1099.1235648135353
World,Other transport,2020,968.6748658583501
World,Other transport,2021,1093.3368893771114
World,Other transport,2022,1087.1518035506435
World,Other transport,2023,1044.8572336844534
World,Other transport,2024,1096.5361483459624
World,Other transport,2025,1124.3623606881372
World,Other transport,2026,1166.4576628472803
World,Other transport,2027,1215.2996197310563
World,Other transport,2028,1259.6496195412683
World,Other transport,2029,1290.4530702424945
World,Other transport,2030,1283.398106078534
World,Grid & Power Infrastructure,2019,9364.696056794955
World,Grid & Power Infrastructure,2020,9214.581888723224
World,Grid & Power Infrastructure,2021,9742.82861785462
World,Grid & Power Infrastructure,2022,9956.096830466413
World,Grid & Power Infrastructure,2023,10129.432693580988
World,Grid & Power Infrastructure,2024,10796.676540241617
World,Grid & Power Infrastructure,2025,11347.758859221049
World,Grid & Power Infrastructure,2026,12056.978788693814
World,Grid & Power Infrastructure,2027,12357.104189849491
World,Grid & Power Infrastructure,2028,12648.724609359837
World,Grid & Power Infrastructure,2029,13078.815226747556
World,Grid & Power Infrastructure,2030,13514.033409291156
World,Cooling,2019,2466.0074327966354
World,Cooling,2020,2288.5756004014434
World,Cooling,2021,2491.6647872141684
World,Cooling,2022,2422.464345658332
World,Cooling,2023,2586.4516758468626
World,Cooling,2024,2872.472089877959
World,Cooling,2025,2791.5700384914453
World,Cooling,2026,2723.955819331923
World,Cooling,2027,2700.308591047146
World,Cooling,2028,2739.021224645273
World,Cooling,2029,2793.0397504853445
World,Cooling,2030,2846.012190465957
World,Data,2019,102.59829706720001
World,Data,2020,114.04222067424996
World,Data,2021,143.98464507960003
World,Data,2022,159.95613729221705
World,Data,2023,179.25945958159227
World,Data,2024,218.2375929091465
World,Data,2025,322.29560745755344
World,Data,2026,428.3097082442196
World,Data,2027,526.4760905461272
World,Data,2028,509.807136588552
World,Data,2029,535.3198140631822
World,Data,2030,399.26339070664
World,Buildings,2019,8671.05199315226
World,Buildings,2020,8256.416287014137
World,Buildings,2021,8656.162914395632
World,Buildings,2022,8192.279059605818
World,Buildings,2023,7688.412954767409
World,Buildings,2024,7245.680840771076
World,Buildings,2025,6547.460419067803
World,Buildings,2026,6188.974644342777
World,Buildings,2027,6077.470249702365
World,Buildings,2028,6030.14286398789
World,Buildings,2029,5948.647496331348
World,Buildings,2030,5877.278196029208
World,Consumer & Industrial,2019,3184.828742645576
World,Consumer & Industrial,2020,3081.1281018130385
World,Consumer & Industrial,2021,3402.3930688773603
