mine_region,mine,year,mine_supply_kt
,Codelco,2019,1588.2
,Codelco,2020,1617.9999999999995
,Codelco,2021,1618.3000000000002
,Codelco,2022,1445.5431979999998
,Codelco,2023,1324.555
,Codelco,2024,1328.43
,Codelco,2025,1334.494
,Codelco,2026,1275.2589999999998
,Codelco,2027,1337.03
,Codelco,2028,1329.8984999999998
,Codelco,2029,1292.6879999999999
,Codelco,2030,1374.6370000000002
,Escondida,2019,1189.2
,Escondida,2020,1190.6000000000001
,Escondida,2021,1010.5
,Escondida,2022,1061.7
,Escondida,2023,1104.3999999999999
,Escondida,2024,1281.3
,Escondida,2025,1347.6
,Escondida,2026,1146.774643
,Escondida,2027,993.6059025
,Escondida,2028,976.62806325
,Escondida,2029,933.1944892999998
,Escondida,2030,926.3741107499999
,Grasberg,2019,275.3308960274333
,Grasberg,2020,366.95666373343255
,Grasberg,2021,606.0001270060147
,Grasberg,2022,710.7800890856474
,Grasberg,2023,752.964229663162
,Grasberg,2024,816.4672369841516
,Grasberg,2025,460.39680307717435
,Grasberg,2026,342.757996166123
,Grasberg,2027,511.2338178380747
,Grasberg,2028,694.9658837014748
,Grasberg,2029,684.1724110059964
,Grasberg,2030,718.823711333919
,Tenke,2019,177.956
,Tenke,2020,182.597
,Tenke,2021,209.12
,Tenke,2022,254.286
,Tenke,2023,280.3
,Tenke,2024,450
,Tenke,2025,521.149
,Tenke,2026,566.5500359399999
,Tenke,2027,554.8685919
,Tenke,2028,651.91741839
,Tenke,2029,708.13226988
,Tenke,2030,704.3656088700001
,Kisanfu,2019,0
,Kisanfu,2020,0
,Kisanfu,2021,0
,Kisanfu,2022,0
,Kisanfu,2023,113.7
,Kisanfu,2024,200.2
,Kisanfu,2025,220
,Kisanfu,2026,217.546362
,Kisanfu,2027,285.672486
,Kisanfu,2028,284.16894659999997
,Kisanfu,2029,282.66540719999995
,Kisanfu,2030,281.1618678
Tibet,Zijin Tibet,2019,0
Tibet,Zijin Tibet,2020,0
Tibet,Zijin Tibet,2021,15.69
Tibet,Zijin Tibet,2022,114.977
Tibet,Zijin Tibet,2023,154.368
Tibet,Zijin Tibet,2024,166.33
Tibet,Zijin Tibet,2025,193.82
Tibet,Zijin Tibet,2026,291
Tibet,Zijin Tibet,2027,388.96999999999997
Tibet,Zijin Tibet,2028,419.2437
Tibet,Zijin Tibet,2029,433.299
