year,refined_production_kt,refined_consumption_kt,market_balance_kt,mine_production_pre_disruption_kt,disruption_allowance,mine_production_kt,scrap_smelting_refining_kt,china_refined_production_kt,world_ex_china_refined_production_kt,total_copper_consumption_kt,grid_power_infrastructure_kt,evs_renewables_kt,electrification_share_of_demand,china_building_kt,direct_melt_scrap_kt,china_refined_consumption_kt,world_ex_china_refined_consumption_kt,total_scrap_consumption_kt,copper_price_usd_per_t
2019,23543.06669,23792.05279176088,-248.98610176088187,20465.944472504696,0,20465.944472504696,3665.33525601729,9078.819,14464.24769,30469.21495107216,9364.696056794955,921.4542661627357,0.33759157692363645,5134.6426924540565,6677.162159311287,12448.729055,11343.323736760882,10342.497415328577,6020
2020,24059.8214746,23382.64775722303,677.1737173769725,20569.41564875787,0,20569.41564875787,3773.3772038800817,9299.5,14760.321474600001,29671.934505166057,9214.581888723224,1201.533573243716,0.3510426817689771,4999.893970597851,6289.286747943026,13031.93308,10350.714677223028,10062.663951823108,6197
2021,24531.393703896447,24869.803784741376,-338.4100808449293,21104.66448466251,0,21104.66448466251,3900.726829540188,10140.847000000002,14390.546703896445,31859.302176551893,9742.82861785462,1663.6917875740223,0.3580279424269286,5150.380417886975,6989.498391810517,13639.15031,11230.653474741375,10890.225221350705,9295
2022,24732.77817218721,24867.004977900804,-134.22680571359524,21853.526384343753,0,21853.526384343753,3772.7100892734707,10282.1,14450.67817218721,32063.5524510362,9956.096830466413,2151.4712527481006,0.3776115607184765,4836,7196.822754461544,13826.815332999999,11040.189644900805,10969.532843735014,8793
2023,25985.025787947023,25964.837054498275,20.18873344874737,22389.863406880366,0,22389.863406880366,4097.82650403355,11440.1,14544.92578794702,32601.43751853647,10129.432693580988,2881.4771071391597,0.3990900644587352,4526.271252155885,6637.096454238008,14844.737119999998,11120.099934498277,10734.922958271558,8520
2024,27091.608781090225,26673.857897312504,417.75088377772045,22883.119770063608,0,22883.119770063608,4630.4674822773995,12060.599999999999,15031.008781090226,33438.962640281934,10796.676540241617,3244.338746480464,0.41989984670779534,4069.669857589292,6764.8545763552975,15231.921287000001,11441.936610312501,11395.322058632697,9253
2025,28424.3674606981,27705.455383595636,718.9120771024645,23249.025962432657,0,23249.025962432657,5564.467063884247,13429.800000000001,14994.5674606981,33945.66274743876,11347.758859221049,3694.6036180028614,0.4431306169846065,3474.247964257823,6381.785218502962,16008.164933,11697.290450595636,11946.25228238721,9972.5
2026,28363.14088840948,28103.36828293022,259.772605479262,23792.1459006735,0.03,23078.381523653294,5830.807528974539,14300,14063.140888409482,34555.34017885075,12056.978788693814,3700.3011791834865,0.456001297811601,3062.3442702993625,6451.971895920526,16220.785086258194,11882.583196672025,12282.779424895065,13400
2027,29006.602814758637,28796.642440428703,209.96037432993398,24919.186533799013,0.05,23673.227207109063,6010.027254843775,15000,14006.602814758637,35287.32616772475,12357.104189849491,3942.1795907603628,0.46190192204242025,2881.2932483855475,6490.683727296048,16653.64997663254,12142.992463796165,12500.710982139823,13800
2028,29816.734833434697,29469.505281352616,347.2295520820808,25955.07504586999,0.055,24527.54591834714,6193.968914989089,15350,14466.734833434697,35992.642427285144,12648.724609359837,4226.740810349427,0.4688587522797822,2771.2612460181335,6523.137145932528,17161.48915282543,12308.016128527186,12717.106060921618,13700
2029,30358.688499710228,30268.60790831076,90.08059139946636,26435.875340740906,0.06,24849.72282029645,6376.801254426261,15700,14658.688499710228,36824.36073997295,13078.815226747556,4622.761556851267,0.4807028941681996,2655.3224576328503,6555.75283166219,17836.550039027785,12432.057869282975,12932.55408608845,13900
2030,30684.32938654327,30864.40212533851,-180.07273879523927,26771.964761418225,0.065,25031.787051926043,6579.504028566112,16200,14484.329386543272,37452.93372115901,13514.033409291156,5005.232631726001,0.4944677012192162,2564.374574961208,6588.5315958205,18351.191986208654,12513.210139129857,13168.035624386612,14100
