country,year,mine_supply_kt
Chile,2019,5776.254546514279
Chile,2020,5723.890909090907
Chile,2021,5612.300000000001
Chile,2022,5320.737955966873
Chile,2023,5238.854832728228
Chile,2024,5495.278122325541
Chile,2025,5405.2508287587625
Chile,2026,5062.978905733726
Chile,2027,5159.060694906588
Chile,2028,5281.468006394261
Chile,2029,5312.184826470037
Chile,2030,5312.184826470037
DRC,2019,1398.9549999999997
DRC,2020,1594.114625
DRC,2021,1870.424707152778
DRC,2022,2308.3335555555554
DRC,2023,2739.922444444445
DRC,2024,3062.4625384615383
DRC,2025,3480.727484064
DRC,2026,3627.22919699245
DRC,2027,3829.59684629373
DRC,2028,3913.7329979323213
DRC,2029,3901.4531417071153
DRC,2030,3857.452040357779
Peru,2019,2307.327896689205
Peru,2020,2078.964929500031
Peru,2021,2237.6301201311508
Peru,2022,2384.6661054891783
Peru,2023,2720.5959030521317
Peru,2024,2670.9102416904384
Peru,2025,2762.4600411902966
Peru,2026,2619.7338517071676
Peru,2027,2533.073913742786
Peru,2028,2583.8855461193334
Peru,2029,2648.071077578532
Peru,2030,2649.6607328822583
China,2019,1683.45
China,2020,1723.3799999999997
China,2021,1817.9999999999998
China,2022,1899.2310000000002
China,2023,1815.0050000000003
China,2024,1842.9180000000001
China,2025,1855.466
China,2026,1922.346
China,2027,1986.68
China,2028,2037.469991817828
China,2029,2006.2389281222052
China,2030,2000
Russia,2019,779.5000000000002
Russia,2020,836.5020000000001
Russia,2021,824.638
Russia,2022,921.7
Russia,2023,924.6100000000001
Russia,2024,1014.7
Russia,2025,1174.1000000000001
Russia,2026,1195.687
Russia,2027,1185.02
Russia,2028,1174.5749999999998
Russia,2029,1191.1
Russia,2030,1297.585
United States,2019,1285.4000000000003
United States,2020,1228.1000000000001
United States,2021,1258.3000000000002
United States,2022,1259
United States,2023,1150.3999999999999
United States,2024,1078.7999999999997
United States,2025,1064.7
United States,2026,1125.2860646868953
United States,2027,1163.0392974309386
United States,2028,1143.285765559269
United States,2029,1160.83227161392
United States,2030,1269.3311666416016
Indonesia,2019,360.72499049134484
Indonesia,2020,500.25666373343256
Indonesia,2021,752.2867532029436
Indonesia,2022,965.6243108544019
Indonesia,2023,934.5107735096761
Indonesia,2024,1038.4702258546079
Indonesia,2025,582.340613058874
Indonesia,2026,581.1064373288124
Indonesia,2027,724.9348369426295
Indonesia,2028,897.384872293254
Indonesia,2029,875.4379599985724
Indonesia,2030,908.4134450135115
Zambia,2019,797.3902164456822
Zambia,2020,791.2835318931255
Zambia,2021,820.0727135834247
Zambia,2022,785.8041135880709
Zambia,2023,713.313345328517
Zambia,2024,754.6026441635245
Zambia,2025,813.8430000000001
Zambia,2026,800.9179878994296
Zambia,2027,772.8862987264935
Zambia,2028,844.8241715224343
Zambia,2029,954.2269928625542
Zambia,2030,976.5178994182287
Australia,2019,925.16
Australia,2020,868.0189999999999
Australia,2021,801.0509999999998
Australia,2022,826.2710000000001
